NC_027816	Grapevine Cabernet Sauvignon reovirus
NC_027804	Fengkai orbivirus
NC_027805	Fengkai orbivirus
NC_027806	Fengkai orbivirus
NC_027811	Fengkai orbivirus
NC_027812	Fengkai orbivirus
NC_027813	Fengkai orbivirus
NC_027803	Fengkai orbivirus
NC_027807	Fengkai orbivirus
NC_027814	Fengkai orbivirus
NC_027815	Fengkai orbivirus
NC_027779	Human papillomavirus
NC_027790	Hermit crab associated circular genome
NC_027799	Sicyonia brevirostris associated circular virus
NC_027797	Primnoa pacifica coral associated circular virus
NC_027780	Petrochirus diogenes giant hermit crab associated circular virus
NC_027798	Paramuricea placomus associated circular virus
NC_027800	Palaemonetes sp. common grass shrimp associated circular virus
NC_027792	Palaemonetes kadiakensis Mississippi grass shrimp associated
NC_027786	Palaemonetes intermedius brackish grass shrimp associated circular
NC_027794	Mytilus sp. clam associated circular virus
NC_027788	Marine snail associated circular virus
NC_027801	Lytechinus variegatus variable sea urchin associated circular virus
NC_027822	Verticillium dahliae partitivirus 1
NC_027823	Verticillium dahliae partitivirus 1
NC_027916	Testudinid alphaherpesvirus 3
NC_027915	Bellflower vein chlorosis virus
NC_027821	Gemycircularvirus gemy-ch-rat1
NC_027818	hepatovirus B1
NC_027820	Poaceae associated gemycircularvirus 1
NC_027920	Hot pepper alphaendornavirus
NC_030690	Canary bornavirus 1
NC_029255	Myotis gammaherpesvirus 8
NC_027924	Atractylodes mild mottle virus
NC_027923	Perigonia lusca single nucleopolyhedrovirus
NC_027917	Opsiphanes invirae iflavirus 1
NC_027919	Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN
NC_027918	Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN
NC_027926	Tomato necrotic dwarf virus
NC_027927	Tomato necrotic dwarf virus
NC_027922	White sucker hepatitis B virus
NC_027928	Privet ringspot virus
NC_027929	Privet ringspot virus
NC_027930	Privet ringspot virus
NC_027998	Human pegivirus 2
NC_028044	Maize-associated totivirus 1
NC_028045	Bat associated circovirus 4
NC_028046	Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014]
NC_028099	Felid gammaherpesvirus 1
NC_028097	Orsay virus
NC_028098	Orsay virus
NC_028115	Sida yellow vein mosaic alphasatellite
NC_028126	Bos taurus papillomavirus 12
NC_028125	human papillomavirus 163
NC_028134	Le Blanc nodavirus
NC_028133	Le Blanc nodavirus
NC_028124	Vinca leaf curl virus
NC_028114	Tomato leaf curl Comoros virus
NC_028111	Nerine latent virus
NC_028129	Woolly monkey hepatitis B virus
NC_028119	Common vole polyomavirus
NC_028117	Bank vole polyomavirus
NC_028132	Apple hammerhead viroid-like circular RNA
NC_028131	Grapevine latent viroid
NC_028116	Ageratum conyzoides symptomless alphasatellite
NC_028128	Malachra yellow vein mosaic betasatellite
NC_028130	Luffa begomovirus betasatellite
NC_028127	Sumatran orang-utan polyomavirus
NC_030688	Parrot bornavirus 4
NC_028368	Sanxia water strider virus 6
NC_028374	Gamboa mosquito virus
NC_028371	Bole tick virus 4
NC_028376	Beihai barnacle viurs 1
NC_028365	Hedgehog hepatovirus Igel8Erieur2014
NC_028364	Shrew hepatovirus KS121232Sorara2012
NC_028363	Rodent hepatovirus RMU101637Micarv2010
NC_028378	Papaya meleira virus
NC_028372	Xinzhou spider virus 2
NC_028370	Xingshan cricket virus
NC_028377	Wenling shark virus
NC_028367	Tacheng tick virus 8
NC_028373	Shuangao lacewing virus 2
NC_028369	Shayang spider virus 4
NC_028375	Shayang fly virus 4
NC_028387	Wuhan aphid virus 2
NC_028382	Wuhan aphid virus 2
NC_028383	Wuhan aphid virus 2
NC_028386	Wuhan aphid virus 2
NC_028384	Wuhan aphid virus 1
